i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_meanBaseRate,out_adjustedMeanBaseRate,out_emissionQuantDirect,out_emissionQuant
1,5,260.05730384453915,52.01146076890783,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,1,1,0.48671633989381435,0.5048299357778239,26.256942399678547,26.256942399678547
2,5,310.4463445557139,62.08926891114278,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2019,1,1,1,0.5293499119407491,0.5490501553889608,34.09012274364992,34.09012274364992
3,5,327.8141613006279,65.56283226012559,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2018,1,1,1,0.5686418395826014,0.5898043682274917,38.66924486038839,38.66924486038839
4,5,368.3242419642923,73.66484839285846,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2017,1,1,1,0.6197439077925053,0.642808246868895,47.352372051276284,47.352372051276284
5,5,367.29985169622574,73.45997033924515,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2016,1,1,1,1.2943457833735494,0.8293262019287851,60.92227819524739,60.92227819524739
6,5,392.56334931271454,78.51266986254291,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015,1,1,1,1.2822013315537797,0.8215448870502013,64.50168249423255,64.50168249423255
7,5,364.0998652152451,72.81997304304902,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2014,1,1,1,1.4573742881088616,0.9337834593131864,67.99808633523129,67.99808633523129
8,5,370.3959424661204,74.07918849322408,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013,1,1,1,1.4555754271038512,0.9326308750623267,69.08853838834261,69.08853838834261
9,5,316.43263381169584,63.286526762339165,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,1,1,1,1.5876787459706314,1.0172734374326604,64.37970262269882,64.37970262269882
10,5,231.92053549096389,46.38410709819278,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011,1,1,1,1.5886293740020634,1.0178825333519128,47.213572440374904,47.213572440374904
11,5,230.10402906651655,46.02080581330331,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010,1,1,1,2.0607284233786243,1.3203705675255901,60.764517489696274,60.764517489696274
12,5,205.50535743034038,41.10107148606808,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009,1,1,1,2.1046911230812193,1.3485387890620808,55.426389170976265,55.426389170976265
13,5,253.9388285109485,50.7877657021897,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008,1,1,1,2.226881873400623,1.4268300711714876,72.46551135149618,72.46551135149618
14,5,268.1829985315532,53.63659970631064,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007,1,1,1,2.253159134659043,1.443666701349041,77.43337296958842,77.43337296958842
15,5,229.81669167512396,45.963338335024794,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2006,1,1,1,2.378198245326143,1.5237830134459698,70.03815419618074,70.03815419618074
16,5,203.39262514967626,40.67852502993525,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2005,1,1,1,2.5001713446597953,1.6019348400345426,65.16434648667047,65.16434648667047
